sex,age,level_education,country,year,value_unemployment,value_education,valor_educacion,indice_educativo
Males,15-29,BACH-FP,Austria,2020,7.8,45.7,3,2.68
Males,15-29,BACH-FP,Austria,2021,7.1,46.1,3,2.69
Males,15-29,BACH-FP,Austria,2022,6.5,44.0,3,2.69
Males,15-29,BACH-FP,Austria,2023,7.5,43.4,3,2.72
Males,15-29,BACH,Austria,2014,11.0,10.7,4,2.68
Males,15-29,BACH,Austria,2015,11.1,10.6,4,2.68
Males,15-29,BACH,Austria,2016,13.1,9.4,4,2.68
Males,15-29,BACH,Austria,2017,12.4,11.1,4,2.69
Males,15-29,BACH,Austria,2018,10.1,10.2,4,2.69
Males,15-29,BACH,Austria,2019,10.0,10.1,4,2.7
Males,15-29,BACH,Austria,2020,11.3,10.3,4,2.68
Males,15-29,BACH,Austria,2021,12.1,10.5,4,2.69
Males,15-29,BACH,Austria,2022,12.2,9.1,4,2.69
Males,15-29,BACH,Austria,2023,11.3,10.4,4,2.72
Males,15-29,FP,Austria,2014,7.8,38.3,2,2.68
Males,15-29,FP,Austria,2015,8.2,39.4,2,2.68
Males,15-29,FP,Austria,2016,8.7,38.9,2,2.68
Males,15-29,FP,Austria,2017,7.0,35.8,2,2.69
Males,15-29,FP,Austria,2018,5.2,36.4,2,2.69
Males,15-29,FP,Austria,2019,4.7,35.8,2,2.7
Males,15-29,FP,Austria,2020,7.2,35.4,2,2.68
Males,15-29,FP,Austria,2021,6.2,35.6,2,2.69
Males,15-29,FP,Austria,2022,5.5,34.9,2,2.69
Males,15-29,FP,Austria,2023,6.6,33.0,2,2.72
Males,15-29,UNIVERSIDAD,Austria,2014,6.2,20.4,5,2.68
Males,15-29,UNIVERSIDAD,Austria,2015,6.6,20.3,5,2.68
Males,15-29,UNIVERSIDAD,Austria,2016,6.1,21.2,5,2.68
Males,15-29,UNIVERSIDAD,Austria,2017,4.4,21.3,5,2.69
Males,15-29,UNIVERSIDAD,Austria,2018,4.5,22.1,5,2.69
Males,15-29,UNIVERSIDAD,Austria,2019,4.5,22.7,5,2.7
Males,15-29,UNIVERSIDAD,Austria,2020,5.2,21.9,5,2.68
Males,15-29,UNIVERSIDAD,Austria,2021,6.4,22.0,5,2.69
Males,15-29,UNIVERSIDAD,Austria,2022,5.3,23.4,5,2.69
Males,15-29,UNIVERSIDAD,Austria,2023,4.3,24.0,5,2.72
Total,15-29,ESO,Austria,2014,15.3,29.3,1,2.8
Total,15-29,ESO,Austria,2015,14.8,28.6,1,2.8
Total,15-29,ESO,Austria,2016,17.6,28.9,1,2.8
Total,15-29,ESO,Austria,2017,17.4,29.6,1,2.8
Total,15-29,ESO,Austria,2018,14.8,29.3,1,2.8
Total,15-29,ESO,Austria,2019,13.3,29.1,1,2.8
Total,15-29,ESO,Austria,2020,15.6,29.6,1,2.8
Total,15-29,ESO,Austria,2021,16.0,29.8,1,2.8
Total,15-29,ESO,Austria,2022,14.7,30.3,1,2.8
Total,15-29,ESO,Austria,2023,15.5,30.4,1,2.8
Total,15-29,BACH-FP,Austria,2014,7.8,47.6,3,2.8
Total,15-29,BACH-FP,Austria,2015,7.9,46.8,3,2.8
Total,15-29,BACH-FP,Austria,2016,8.5,45.8,3,2.8
Total,15-29,BACH-FP,Austria,2017,7.1,45.2,3,2.8
Total,15-29,BACH-FP,Austria,2018,6.3,45.1,3,2.8
Total,15-29,BACH-FP,Austria,2019,5.7,44.7,3,2.8
Total,15-29,BACH-FP,Austria,2020,7.7,44.8,3,2.8
Total,15-29,BACH-FP,Austria,2021,8.0,43.9,3,2.8
Total,15-29,BACH-FP,Austria,2022,6.4,43.6,3,2.8
Total,15-29,BACH-FP,Austria,2023,7.3,42.6,3,2.8
Total,15-29,BACH,Austria,2014,9.5,12.2,4,2.8
Total,15-29,BACH,Austria,2015,9.9,11.7,4,2.8
Total,15-29,BACH,Austria,2016,11.4,11.2,4,2.8
Total,15-29,BACH,Austria,2017,10.0,12.3,4,2.8
Total,15-29,BACH,Austria,2018,8.4,12.0,4,2.8
Total,15-29,BACH,Austria,2019,8.6,12.0,4,2.8
Total,15-29,BACH,Austria,2020,9.5,12.1,4,2.8
Total,15-29,BACH,Austria,2021,11.3,12.2,4,2.8
Total,15-29,BACH,Austria,2022,9.1,11.0,4,2.8
Total,15-29,BACH,Austria,2023,10.4,12.3,4,2.8
Total,15-29,FP,Austria,2014,7.5,35.5,2,2.8
Total,15-29,FP,Austria,2015,7.5,35.2,2,2.8
Total,15-29,FP,Austria,2016,7.9,34.6,2,2.8
Total,15-29,FP,Austria,2017,6.4,32.8,2,2.8
Total,15-29,FP,Austria,2018,5.8,33.0,2,2.8
Total,15-29,FP,Austria,2019,5.0,32.7,2,2.8
Total,15-29,FP,Austria,2020,7.3,32.8,2,2.8
Total,15-29,FP,Austria,2021,7.1,31.7,2,2.8
Total,15-29,FP,Austria,2022,5.7,32.5,2,2.8
Total,15-29,FP,Austria,2023,6.3,30.3,2,2.8
Total,15-29,UNIVERSIDAD,Austria,2014,6.2,23.1,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2015,5.7,24.6,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2016,5.1,25.3,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2017,4.2,25.3,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2018,4.9,25.7,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2019,4.6,26.2,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2020,5.2,25.5,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2021,5.7,26.3,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2022,4.8,26.2,5,2.8
Total,15-29,UNIVERSIDAD,Austria,2023,5.0,27.0,5,2.8
Females,15-29,ESO,Belgium,2014,32.7,31.5,1,2.96
Females,15-29,ESO,Belgium,2015,35.6,31.9,1,2.95
Females,15-29,ESO,Belgium,2016,29.7,31.7,1,2.96
Females,15-29,ESO,Belgium,2017,30.8,32.8,1,2.96
Females,15-29,ESO,Belgium,2018,26.1,33.3,1,2.97
Females,15-29,ESO,Belgium,2019,20.8,32.8,1,2.98
Females,15-29,ESO,Belgium,2020,24.1,32.6,1,3.02
Females,15-29,ESO,Belgium,2021,24.7,28.8,1,3.1
Females,15-29,ESO,Belgium,2022,22.4,28.8,1,3.07
Females,15-29,ESO,Belgium,2023,24.7,31.5,1,3.02
Females,15-29,BACH-FP,Belgium,2014,17.2,39.2,3,2.96
Females,15-29,BACH-FP,Belgium,2015,14.8,39.6,3,2.95
Females,15-29,BACH-FP,Belgium,2016,14.4,39.5,3,2.96
Females,15-29,BACH-FP,Belgium,2017,13.0,37.4,3,2.96
Females,15-29,BACH-FP,Belgium,2018,11.6,35.5,3,2.97
Females,15-29,BACH-FP,Belgium,2019,8.4,36.2,3,2.98
Females,15-29,BACH-FP,Belgium,2020,12.4,35.1,3,3.02
Females,15-29,BACH-FP,Belgium,2021,13.4,37.4,3,3.1
Females,15-29,BACH-FP,Belgium,2022,13.4,39.4,3,3.07
Females,15-29,BACH-FP,Belgium,2023,11.9,37.8,3,3.02
Females,15-29,BACH,Belgium,2014,18.2,18.7,4,2.96
Females,15-29,BACH,Belgium,2015,15.9,19.7,4,2.95
Females,15-29,BACH,Belgium,2016,14.5,19.8,4,2.96
Females,15-29,BACH,Belgium,2017,11.5,19.1,4,2.96
Females,15-29,BACH,Belgium,2018,13.6,18.1,4,2.97
Females,15-29,BACH,Belgium,2019,7.9,18.7,4,2.98
Females,15-29,BACH,Belgium,2020,13.7,18.9,4,3.02
Females,15-29,BACH,Belgium,2021,16.5,20.7,4,3.1
Females,15-29,BACH,Belgium,2022,14.5,21.5,4,3.07
Females,15-29,BACH,Belgium,2023,14.8,21.1,4,3.02
Females,15-29,FP,Belgium,2014,16.9,20.5,2,2.96
Females,15-29,FP,Belgium,2015,14.5,19.9,2,2.95
Females,15-29,FP,Belgium,2016,14.4,19.6,2,2.96
Females,15-29,FP,Belgium,2017,13.6,18.3,2,2.96
Females,15-29,FP,Belgium,2018,10.8,17.5,2,2.97
Females,15-29,FP,Belgium,2019,8.7,17.6,2,2.98
Females,15-29,FP,Belgium,2020,11.8,16.2,2,3.02
Females,15-29,FP,Belgium,2021,11.9,16.7,2,3.1
Females,15-29,FP,Belgium,2022,12.8,17.9,2,3.07
Females,15-29,FP,Belgium,2023,10.1,16.7,2,3.02
Females,15-29,UNIVERSIDAD,Belgium,2014,8.3,29.3,5,2.96
Females,15-29,UNIVERSIDAD,Belgium,2015,7.9,28.6,5,2.95
Females,15-29,UNIVERSIDAD,Belgium,2016,7.8,28.8,5,2.96
Females,15-29,UNIVERSIDAD,Belgium,2017,7.9,29.9,5,2.96
Females,15-29,UNIVERSIDAD,Belgium,2018,6.0,31.2,5,2.97
Females,15-29,UNIVERSIDAD,Belgium,2019,5.7,30.9,5,2.98
Females,15-29,UNIVERSIDAD,Belgium,2020,5.9,32.3,5,3.02
Females,15-29,UNIVERSIDAD,Belgium,2021,5.9,33.8,5,3.1
Females,15-29,UNIVERSIDAD,Belgium,2022,4.5,31.8,5,3.07
Females,15-29,UNIVERSIDAD,Belgium,2023,5.0,30.7,5,3.02
Males,15-29,ESO,Belgium,2014,32.3,36.9,1,2.69
Males,15-29,ESO,Belgium,2015,32.2,36.7,1,2.7
Males,15-29,ESO,Belgium,2016,28.6,36.0,1,2.7
Males,15-29,ESO,Belgium,2017,26.8,37.1,1,2.72
Males,15-29,ESO,Belgium,2018,19.7,37.7,1,2.71
Males,15-29,ESO,Belgium,2019,22.5,37.6,1,2.71
Males,15-29,ESO,Belgium,2020,21.1,37.4,1,2.75
Males,15-29,ESO,Belgium,2021,28.1,33.8,1,2.81
Males,15-29,ESO,Belgium,2022,25.0,32.2,1,2.83
Males,15-29,ESO,Belgium,2023,23.3,34.5,1,2.79
Males,15-29,BACH-FP,Belgium,2014,16.9,43.3,3,2.69
Males,15-29,BACH-FP,Belgium,2015,15.7,43.4,3,2.7
Males,15-29,BACH-FP,Belgium,2016,14.0,44.5,3,2.7
Males,15-29,BACH-FP,Belgium,2017,12.8,41.4,3,2.72
Males,15-29,BACH-FP,Belgium,2018,10.7,40.8,3,2.71
Males,15-29,BACH-FP,Belgium,2019,9.6,40.6,3,2.71
Males,15-29,BACH-FP,Belgium,2020,10.0,40.1,3,2.75
Males,15-29,BACH-FP,Belgium,2021,13.9,42.4,3,2.81
Males,15-29,BACH-FP,Belgium,2022,13.4,45.2,3,2.83
Males,15-29,BACH-FP,Belgium,2023,13.3,44.0,3,2.79
Males,15-29,BACH,Belgium,2014,20.4,16.7,4,2.69
Males,15-29,BACH,Belgium,2015,21.8,16.8,4,2.7
Males,15-29,BACH,Belgium,2016,14.1,17.3,4,2.7
Males,15-29,BACH,Belgium,2017,16.1,16.5,4,2.72
Males,15-29,BACH,Belgium,2018,14.6,16.3,4,2.71
Males,15-29,BACH,Belgium,2019,12.9,16.0,4,2.71
Males,15-29,BACH,Belgium,2020,12.6,17.5,4,2.75
Males,15-29,BACH,Belgium,2021,13.5,18.0,4,2.81
Males,15-29,BACH,Belgium,2022,18.4,19.6,4,2.83
Males,15-29,BACH,Belgium,2023,15.1,19.7,4,2.79
Males,15-29,FP,Belgium,2014,16.0,26.7,2,2.69
Males,15-29,FP,Belgium,2015,14.1,26.5,2,2.7
Males,15-29,FP,Belgium,2016,14.0,27.1,2,2.7
Males,15-29,FP,Belgium,2017,11.8,24.8,2,2.72
Males,15-29,FP,Belgium,2018,9.5,24.4,2,2.71
Males,15-29,FP,Belgium,2019,8.5,24.6,2,2.71
Males,15-29,FP,Belgium,2020,9.1,22.6,2,2.75
Males,15-29,FP,Belgium,2021,14.1,24.4,2,2.81
Males,15-29,FP,Belgium,2022,11.6,25.6,2,2.83
Males,15-29,FP,Belgium,2023,12.6,24.4,2,2.79
Males,15-29,UNIVERSIDAD,Belgium,2014,9.0,19.8,5,2.69
Males,15-29,UNIVERSIDAD,Belgium,2015,9.7,19.9,5,2.7
Males,15-29,UNIVERSIDAD,Belgium,2016,8.5,19.5,5,2.7
Males,15-29,UNIVERSIDAD,Belgium,2017,8.8,21.5,5,2.72
Males,15-29,UNIVERSIDAD,Belgium,2018,6.5,21.5,5,2.71
Males,15-29,UNIVERSIDAD,Belgium,2019,5.9,21.8,5,2.71
Males,15-29,UNIVERSIDAD,Belgium,2020,7.2,22.5,5,2.75
Males,15-29,UNIVERSIDAD,Belgium,2021,7.3,23.7,5,2.81
Males,15-29,UNIVERSIDAD,Belgium,2022,6.0,22.6,5,2.83
Males,15-29,UNIVERSIDAD,Belgium,2023,7.4,21.5,5,2.79
Total,15-29,ESO,Belgium,2014,32.4,34.2,1,2.87
Total,15-29,ESO,Belgium,2015,33.4,34.3,1,2.87
Total,15-29,ESO,Belgium,2016,29.0,33.9,1,2.87
Total,15-29,ESO,Belgium,2017,28.2,35.0,1,2.87
Total,15-29,ESO,Belgium,2018,22.2,35.5,1,2.87
Total,15-29,ESO,Belgium,2019,21.9,35.2,1,2.87
Total,15-29,ESO,Belgium,2020,22.2,35.0,1,2.87
Total,15-29,ESO,Belgium,2021,26.9,31.3,1,2.87
Total,15-29,ESO,Belgium,2022,24.0,30.5,1,2.87
Total,15-29,ESO,Belgium,2023,23.9,33.0,1,2.87
Total,15-29,BACH-FP,Belgium,2014,17.0,41.3,3,2.87
Total,15-29,BACH-FP,Belgium,2015,15.4,41.5,3,2.87
Total,15-29,BACH-FP,Belgium,2016,14.2,42.0,3,2.87
Total,15-29,BACH-FP,Belgium,2017,12.9,39.4,3,2.87
Total,15-29,BACH-FP,Belgium,2018,11.1,38.2,3,2.87
Total,15-29,BACH-FP,Belgium,2019,9.1,38.5,3,2.87
Total,15-29,BACH-FP,Belgium,2020,11.0,37.6,3,2.87
Total,15-29,BACH-FP,Belgium,2021,13.7,40.0,3,2.87
Total,15-29,BACH-FP,Belgium,2022,13.4,42.4,3,2.87
Total,15-29,BACH-FP,Belgium,2023,12.7,41.0,3,2.87
Total,15-29,BACH,Belgium,2014,19.4,17.7,4,2.87
Total,15-29,BACH,Belgium,2015,19.1,18.3,4,2.87
Total,15-29,BACH,Belgium,2016,14.3,18.6,4,2.87
Total,15-29,BACH,Belgium,2017,14.0,17.8,4,2.87
Total,15-29,BACH,Belgium,2018,14.2,17.2,4,2.87
Total,15-29,BACH,Belgium,2019,10.6,17.3,4,2.87
Total,15-29,BACH,Belgium,2020,13.1,18.2,4,2.87
Total,15-29,BACH,Belgium,2021,14.9,19.3,4,2.87
Total,15-29,BACH,Belgium,2022,16.5,20.5,4,2.87
Total,15-29,BACH,Belgium,2023,15.0,20.4,4,2.87
Total,15-29,FP,Belgium,2014,16.4,23.6,2,2.87
Total,15-29,FP,Belgium,2015,14.3,23.2,2,2.87
Total,15-29,FP,Belgium,2016,14.1,23.4,2,2.87
Total,15-29,FP,Belgium,2017,12.5,21.6,2,2.87
Total,15-29,FP,Belgium,2018,10.0,21.0,2,2.87
Total,15-29,FP,Belgium,2019,8.5,21.1,2,2.87
Total,15-29,FP,Belgium,2020,10.1,19.4,2,2.87
Total,15-29,FP,Belgium,2021,13.3,20.6,2,2.87
Total,15-29,FP,Belgium,2022,12.1,21.8,2,2.87
Total,15-29,FP,Belgium,2023,11.7,20.6,2,2.87
Total,15-29,UNIVERSIDAD,Belgium,2014,8.6,24.5,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2015,8.6,24.2,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2016,8.1,24.1,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2017,8.3,25.6,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2018,6.2,26.3,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2019,5.8,26.3,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2020,6.5,27.4,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2021,6.5,28.7,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2022,5.2,27.1,5,2.87
Total,15-29,UNIVERSIDAD,Belgium,2023,6.0,26.0,5,2.87
Females,15-29,ESO,Bulgaria,2014,38.7,33.6,1,2.92
Females,15-29,ESO,Bulgaria,2015,34.3,34.1,1,2.92
Females,15-29,ESO,Bulgaria,2016,29.8,34.8,1,2.93
Females,15-29,ESO,Bulgaria,2017,28.7,35.4,1,2.94
Females,15-29,ESO,Bulgaria,2018,21.4,33.8,1,2.99
Females,15-29,ESO,Bulgaria,2019,18.8,36.2,1,2.93
Females,15-29,ESO,Bulgaria,2020,23.5,38.1,1,2.88
Females,15-29,ESO,Bulgaria,2021,27.8,36.4,1,2.92
Females,15-29,ESO,Bulgaria,2022,20.9,35.0,1,2.93
Females,15-29,ESO,Bulgaria,2023,24.1,32.8,1,2.94
Females,15-29,BACH-FP,Bulgaria,2014,18.2,47.0,3,2.92
Females,15-29,BACH-FP,Bulgaria,2015,13.2,46.6,3,2.92
Females,15-29,BACH-FP,Bulgaria,2016,10.1,45.4,3,2.93
Females,15-29,BACH-FP,Bulgaria,2017,8.4,44.4,3,2.94
Females,15-29,BACH-FP,Bulgaria,2018,5.6,46.0,3,2.99
Females,15-29,BACH-FP,Bulgaria,2019,4.6,45.7,3,2.93
Females,15-29,BACH-FP,Bulgaria,2020,7.8,45.2,3,2.88
Females,15-29,BACH-FP,Bulgaria,2021,9.8,46.2,3,2.92
Females,15-29,BACH-FP,Bulgaria,2022,7.5,47.6,3,2.93
Females,15-29,BACH-FP,Bulgaria,2023,7.5,49.6,3,2.94
Females,15-29,BACH,Bulgaria,2014,18.7,32.0,4,2.92
Females,15-29,BACH,Bulgaria,2015,13.7,32.0,4,2.92
Females,15-29,BACH,Bulgaria,2016,10.8,32.7,4,2.93
Females,15-29,BACH,Bulgaria,2017,7.7,33.4,4,2.94
Females,15-29,BACH,Bulgaria,2018,5.8,36.1,4,2.99
Females,15-29,BACH,Bulgaria,2019,4.4,35.6,4,2.93
Females,15-29,BACH,Bulgaria,2020,7.5,35.0,4,2.88
Females,15-29,BACH,Bulgaria,2021,10.2,36.3,4,2.92
Females,15-29,BACH,Bulgaria,2022,7.2,36.3,4,2.93
Females,15-29,BACH,Bulgaria,2023,7.4,35.7,4,2.94
Females,15-29,FP,Bulgaria,2014,17.4,14.9,2,2.92
Females,15-29,FP,Bulgaria,2015,12.6,14.6,2,2.92
Females,15-29,FP,Bulgaria,2016,9.0,12.8,2,2.93
Females,15-29,FP,Bulgaria,2017,10.1,11.0,2,2.94
Females,15-29,FP,Bulgaria,2018,10.1,10.0,2,2.99
Females,15-29,FP,Bulgaria,2019,10.1,10.1,2,2.93
Females,15-29,FP,Bulgaria,2020,10.1,10.2,2,2.88
Females,15-29,FP,Bulgaria,2021,10.1,9.9,2,2.92
Females,15-29,FP,Bulgaria,2022,10.1,11.3,2,2.93
Females,15-29,FP,Bulgaria,2023,10.1,13.9,2,2.94
Females,15-29,UNIVERSIDAD,Bulgaria,2014,9.7,19.4,5,2.92
Females,15-29,UNIVERSIDAD,Bulgaria,2015,9.2,19.3,5,2.92
Females,15-29,UNIVERSIDAD,Bulgaria,2016,6.8,19.7,5,2.93
Females,15-29,UNIVERSIDAD,Bulgaria,2017,5.7,20.2,5,2.94
Females,15-29,UNIVERSIDAD,Bulgaria,2018,5.6,20.1,5,2.99
Females,15-29,UNIVERSIDAD,Bulgaria,2019,4.7,18.1,5,2.93
Females,15-29,UNIVERSIDAD,Bulgaria,2020,4.7,16.7,5,2.88
Females,15-29,UNIVERSIDAD,Bulgaria,2021,4.7,17.4,5,2.92
Females,15-29,UNIVERSIDAD,Bulgaria,2022,4.7,17.4,5,2.93
Females,15-29,UNIVERSIDAD,Bulgaria,2023,4.7,17.6,5,2.94
Males,15-29,ESO,Bulgaria,2014,36.6,32.7,1,2.71
Males,15-29,ESO,Bulgaria,2015,30.2,33.9,1,2.71
Males,15-29,ESO,Bulgaria,2016,29.7,34.2,1,2.73
Males,15-29,ESO,Bulgaria,2017,22.8,33.8,1,2.78
Males,15-29,ESO,Bulgaria,2018,19.8,35.1,1,2.77
Males,15-29,ESO,Bulgaria,2019,16.0,36.3,1,2.74
Males,15-29,ESO,Bulgaria,2020,14.1,37.7,1,2.74
Males,15-29,ESO,Bulgaria,2021,22.5,36.3,1,2.75
Males,15-29,ESO,Bulgaria,2022,18.6,34.1,1,2.79
Males,15-29,ESO,Bulgaria,2023,15.9,32.9,1,2.8
Males,15-29,BACH-FP,Bulgaria,2014,15.9,55.3,3,2.71
Males,15-29,BACH-FP,Bulgaria,2015,14.0,53.9,3,2.71
Males,15-29,BACH-FP,Bulgaria,2016,11.3,53.4,3,2.73
Males,15-29,BACH-FP,Bulgaria,2017,8.8,52.4,3,2.78
Males,15-29,BACH-FP,Bulgaria,2018,8.4,51.7,3,2.77
Males,15-29,BACH-FP,Bulgaria,2019,6.4,51.7,3,2.74
Males,15-29,BACH-FP,Bulgaria,2020,9.0,50.1,3,2.74
Males,15-29,BACH-FP,Bulgaria,2021,10.0,51.7,3,2.75
Males,15-29,BACH-FP,Bulgaria,2022,7.5,54.6,3,2.79
Males,15-29,BACH-FP,Bulgaria,2023,8.6,55.3,3,2.8
Males,15-29,BACH,Bulgaria,2014,17.9,26.2,4,2.71
Males,15-29,BACH,Bulgaria,2015,14.4,26.1,4,2.71
Males,15-29,BACH,Bulgaria,2016,11.5,27.8,4,2.73
Males,15-29,BACH,Bulgaria,2017,8.1,29.7,4,2.78
Males,15-29,BACH,Bulgaria,2018,8.4,30.0,4,2.77
Males,15-29,BACH,Bulgaria,2019,6.3,30.2,4,2.74
Males,15-29,BACH,Bulgaria,2020,8.8,30.7,4,2.74
Males,15-29,BACH,Bulgaria,2021,11.9,31.5,4,2.75
Males,15-29,BACH,Bulgaria,2022,8.3,33.5,4,2.79
Males,15-29,BACH,Bulgaria,2023,8.1,33.4,4,2.8
Males,15-29,FP,Bulgaria,2014,14.7,29.1,2,2.71
Males,15-29,FP,Bulgaria,2015,13.8,27.8,2,2.71
Males,15-29,FP,Bulgaria,2016,11.1,25.6,2,2.73
Males,15-29,FP,Bulgaria,2017,9.4,22.7,2,2.78
Males,15-29,FP,Bulgaria,2018,8.5,21.7,2,2.77
Males,15-29,FP,Bulgaria,2019,6.6,21.5,2,2.74
Males,15-29,FP,Bulgaria,2020,9.1,19.4,2,2.74
Males,15-29,FP,Bulgaria,2021,8.1,20.2,2,2.75
Males,15-29,FP,Bulgaria,2022,6.7,21.1,2,2.79
Males,15-29,FP,Bulgaria,2023,9.2,21.9,2,2.8
Males,15-29,UNIVERSIDAD,Bulgaria,2014,11.4,12.0,5,2.71
Males,15-29,UNIVERSIDAD,Bulgaria,2015,7.3,12.1,5,2.71
Males,15-29,UNIVERSIDAD,Bulgaria,2016,8.6,12.4,5,2.73
Males,15-29,UNIVERSIDAD,Bulgaria,2017,6.0,13.8,5,2.78
Males,15-29,UNIVERSIDAD,Bulgaria,2018,6.0,13.2,5,2.77
Males,15-29,UNIVERSIDAD,Bulgaria,2019,6.0,12.1,5,2.74
Males,15-29,UNIVERSIDAD,Bulgaria,2020,6.0,12.3,5,2.74
Males,15-29,UNIVERSIDAD,Bulgaria,2021,6.0,12.0,5,2.75
